1|Abomination|5|4|4|neutral|rare|Abomination|Taunt. Deathrattle: Deal 2 damage to ALL characters.
1|AbusiveSergeant|1|2|1|neutral|common|Abusive Sergeant|Battlecry: Give a minion +2 Attack until end of turn
1|AcidicSwampOoze|2|3|2|neutral|common|Acidic Swamp Ooze|Battlecry: Destroy your opponent's weapon.
1|AcolyteofPain|3|1|3|neutral|common|Acolyte of Pain|Whenever this minion takes damage, draw a card.
1|AlAkirTheWindlord|8|3|5|shaman|legendary|Al'Akir the Windlord|Windfury. Charge. Divine Shield. Taunt.
1|AlarmOBot|3|0|3|neutral|rare|Alarm-o-Bot|At the start of your turn, swap this minion with a random one in your hand.
1|AldorPeacekeeper|3|3|3|paladin|rare|Aldor Peacekeeper|Battlecry: Change an enemy minion's Attack to 1.
1|Alextraza|9|8|8|neutral|legendary| Alextraza |Battlecry: Set a hero's remaining Health to 15.
1|AmaniBerserker|2|2|3|neutral|common|Amani Berserker|Enrage: +3 Attack.
2|AncestralHealing|0|0|0|shaman|basic|Ancestral Healing|Restore a minion to full Health and give it Taunt
2|AncestralSpirit|2|0|0|shaman|rare|Ancestral Spirit|Choose a minion. When that minion is destroyed, return it to the battlefield.
1|AncientBrewmaster|4|5|4|neutral|common|Ancient Brewmaster|Battlecry: Return a friendly minion from the battlefield to your hand.
1|AncientMage|4|2|5|neutral|rare|Ancient Mage|Battlecry: Give adjacent minions Spell Power +1.
1|AncientofLore|7|5|5|druid|epic|Ancient of Lore|Choose One - Draw 2 cards; or Restore 5 Health.
1|AncientofWar|7|5|5|druid|epic|Ancient of War|Choose One - Ancient of War gets +5 Health and Taunt; or +5 Attack.
1|AncientWatcher|2|4|5|neutral|rare|Ancient Watcher|Can't Attack.
1|AngryChicken|1|1|1|neutral|rare|Angry Chicken|Enrage: +5 Attack.
2|AnimalCompanion|3|0|0|hunter|common|Animal Companion|Summon a random Beast Companion
1|ArathiWeaponsmith|4|3|3|warrior|common|Arathi Weaponsmith|Battlecry: Equip a 2/2 weapon.
2|ArcaneExplosion|2|0|0|mage|basic|Arcane Explosion|Deal 1 damage to all enemy minions
1|ArcaneGolem|3|4|2|neutral|rare|Arcane Golem|Charge. Battlecry: Give your opponent a Mana Crystal.
2|ArcaneIntellect|3|0|0|mage|basic|Arcane Intellect|Draw 2 cards.
2|ArcaneMissiles|1|0|0|mage|basic|Arcane Missiles|Shoot 3 missiles at random enemies for 1 damage each.
2|ArcaneShot|1|0|0|hunter|basic|Arcane Shot|Deal 2 damage
3|ArcaniteReaper|5|5|2|warrior|common|Arcanite Reaper|
1|Archmage|6|4|7|neutral|common|Archmage|Spell Power +1
1|ArchmageAntonidas|7|5|7|mage|legendary|Archmage Antonidas|Whenever you cast a spell, put a Fireball spell into your hand.
1|ArgentCommander|6|4|2|neutral|rare|Argent Commander|Charge. Divine Shield
1|ArgentProtector|2|2|2|paladin|common|Argent Protector|Battlecry: Give a friendly minion Divine Shield.
1|ArgentSquire|1|1|1|neutral|common|Argent Squire|Divine Shield
1|Armorsmith|2|1|4|warrior|rare|Armorsmith|Whenever a friendly minion takes damage, gain 1 Armor.
3|Ashbringer|5|5|3|paladin|legendary|Ashbringer|
3|AssassinsBlade|5|3|4|rogue|common|Assassin's Blade|
2|Assassinate|5|0|0|rogue|basic|Assassinate|Destroy an enemy minion.
1|AuchenaiSoulpriest|4|3|5|priest|rare|Auchenai Soulpriest|Your cards and powers that restore Health now deal damage instead.
2|AvengingWrath|6|0|0|paladin|epic|Avenging Wrath|Shoot 8 missiles at random enemies for 1 damage each.
1|AzureDrake|5|4|4|neutral|rare|Azure Drake|Spell Power +1. Battlecry: Draw a card.
2|Backstab|0|0|0|rogue|basic|Backstab|Deal 2 damage to an undamaged minion.
2|BaneOfDoom|5|0|0|warlock|epic|Bane of Doom|Deal 2 damage to a character. If that kills it, summon a random Demon.
1|BaronGeddon|7|7|5|neutral|legendary|Baron Geddon|At the end of your turn, deal 2 damage to ALL other characters
1|Barrel|0|0|2|neutral|common|Barrel|Is something in this barrel?
2|BarrelToss|1|0|0|neutral|common|Barrel Toss|Deal 2 damage
2|BattleRage|2|0|0|warrior|common|Battle Rage|Draw a card for each damaged friendly character
